feature,coefficients/importance
numerical_transformer__MSSubClass,0.0
numerical_transformer__LotFrontage,0.00213191131786967
numerical_transformer__LotArea,0.02683617541088838
numerical_transformer__OverallQual,0.4748425281432099
numerical_transformer__OverallCond,0.006071415121670454
numerical_transformer__YearBuilt,0.010744425226531441
numerical_transformer__YearRemodAdd,0.014869980366949925
numerical_transformer__MasVnrArea,0.0006547202951985243
numerical_transformer__BsmtFinSF1,0.032446995249151504
numerical_transformer__BsmtFinSF2,0.00033323393173222555
numerical_transformer__BsmtUnfSF,0.0019446564554659628
numerical_transformer__TotalBsmtSF,0.055230491462635464
numerical_transformer__1stFlrSF,0.017525042942921225
numerical_transformer__2ndFlrSF,0.048451061096602695
numerical_transformer__LowQualFinSF,0.0
numerical_transformer__GrLivArea,0.13990162126639227
numerical_transformer__BsmtFullBath,0.00019892592668704128
numerical_transformer__BsmtHalfBath,4.0552822239693745e-06
numerical_transformer__FullBath,0.0001009471270532316
numerical_transformer__HalfBath,0.00027112801817136614
numerical_transformer__BedroomAbvGr,0.000209189363250132
numerical_transformer__KitchenAbvGr,0.0001048519990246549
numerical_transformer__TotRmsAbvGrd,0.000934750867049237
numerical_transformer__Fireplaces,0.0021490610026571027
numerical_transformer__GarageYrBlt,0.004561937326038105
numerical_transformer__GarageCars,0.06733883290211534
numerical_transformer__GarageArea,0.004726693344223375
numerical_transformer__WoodDeckSF,0.0010788415525572266
numerical_transformer__OpenPorchSF,0.0024239458946247903
numerical_transformer__EnclosedPorch,0.00016980594138874398
numerical_transformer__3SsnPorch,0.0
numerical_transformer__ScreenPorch,0.0003587304825739999
numerical_transformer__PoolArea,3.1064585239124285e-05
numerical_transformer__MiscVal,0.0
numerical_transformer__MoSold,0.000741694453095215
numerical_transformer__YrSold,9.496999920392041e-05
categorical_transformer__MSZoning_C (all),0.0004890898830675167
categorical_transformer__MSZoning_FV,0.00011469109381627528
categorical_transformer__MSZoning_RH,0.0
categorical_transformer__MSZoning_RL,0.0006598918320035383
categorical_transformer__MSZoning_RM,0.0014694079756678174
categorical_transformer__Street_Grvl,0.0
categorical_transformer__Street_Pave,0.0
categorical_transformer__Alley_Grvl,0.0
categorical_transformer__Alley_N/A,0.0
categorical_transformer__Alley_Pave,0.0
categorical_transformer__LotShape_IR1,0.0
categorical_transformer__LotShape_IR2,0.0
categorical_transformer__LotShape_IR3,4.461687497430676e-06
categorical_transformer__LotShape_Reg,0.0
categorical_transformer__LandContour_Bnk,0.0
categorical_transformer__LandContour_HLS,0.0003341893752967953
categorical_transformer__LandContour_Low,2.5950778118434687e-05
categorical_transformer__LandContour_Lvl,0.0
categorical_transformer__Utilities_AllPub,0.0
