feature,coefficients/importance
numerical_transformer__MSSubClass,0.0007936807569736117
numerical_transformer__LotFrontage,0.005408484845490514
numerical_transformer__LotArea,0.022750118704052618
numerical_transformer__OverallQual,0.5285576141203038
numerical_transformer__OverallCond,0.004448351025317692
numerical_transformer__YearBuilt,0.008555598108469183
numerical_transformer__YearRemodAdd,0.009243148258821506
numerical_transformer__MasVnrArea,0.006893274305446932
numerical_transformer__BsmtFinSF1,0.032727018573175
numerical_transformer__BsmtFinSF2,0.0004340610575260216
numerical_transformer__BsmtUnfSF,0.004898726612020625
numerical_transformer__TotalBsmtSF,0.028160322536466713
numerical_transformer__1stFlrSF,0.020875110560705568
numerical_transformer__2ndFlrSF,0.039534364975757005
numerical_transformer__LowQualFinSF,3.569726005558511e-05
numerical_transformer__GrLivArea,0.12755033563743742
numerical_transformer__BsmtFullBath,0.0007198871474216606
numerical_transformer__BsmtHalfBath,0.000203099727270049
numerical_transformer__FullBath,0.0080747792146986
numerical_transformer__HalfBath,0.00025063492629860944
numerical_transformer__BedroomAbvGr,0.0013900251276487184
numerical_transformer__KitchenAbvGr,0.00033296658227313305
numerical_transformer__TotRmsAbvGrd,0.003634960727668012
numerical_transformer__Fireplaces,0.0018925999082737568
numerical_transformer__GarageYrBlt,0.00900988459307465
numerical_transformer__GarageCars,0.04163612489157954
numerical_transformer__GarageArea,0.009543854055037462
numerical_transformer__WoodDeckSF,0.004398180163502277
numerical_transformer__OpenPorchSF,0.00545622229592559
numerical_transformer__EnclosedPorch,0.0008171961552495761
numerical_transformer__3SsnPorch,0.00023080249660132764
numerical_transformer__ScreenPorch,0.0003847414074820092
numerical_transformer__PoolArea,1.4246420577849015e-05
numerical_transformer__MiscVal,6.308082329630717e-06
numerical_transformer__MoSold,0.0038401696769546382
numerical_transformer__YrSold,0.0016486309425879971
categorical_transformer__MSZoning_C (all),5.737217984512081e-05
categorical_transformer__MSZoning_FV,7.089401709054083e-05
categorical_transformer__MSZoning_RH,1.648303190281275e-05
categorical_transformer__MSZoning_RL,0.00041207740962382597
categorical_transformer__MSZoning_RM,0.0005246246826177689
categorical_transformer__Street_Grvl,4.765178464406852e-06
categorical_transformer__Street_Pave,3.5849040944367525e-07
categorical_transformer__Alley_Grvl,1.5425244684452718e-05
categorical_transformer__Alley_N/A,0.0002592913046304517
categorical_transformer__Alley_Pave,6.554158112618964e-05
categorical_transformer__LotShape_IR1,0.00022163145590058144
categorical_transformer__LotShape_IR2,4.1147124044315656e-05
categorical_transformer__LotShape_IR3,6.001819814293792e-05
categorical_transformer__LotShape_Reg,0.0011892699960756783
categorical_transformer__LandContour_Bnk,0.0012917652039080396
categorical_transformer__LandContour_HLS,4.9254139293803434e-05
categorical_transformer__LandContour_Low,0.00012092698621704327
categorical_transformer__LandContour_Lvl,0.00046061477693832637
categorical_transformer__Utilities_AllPub,0.0
categorical_transformer__Utilities_NoSeWa,0.0
categorical_transformer__LotConfig_Corner,0.0001958496008592866
