feature,coefficients/importance
numerical_transformer__MSSubClass,-3577.55579876632
numerical_transformer__LotFrontage,-1692.440569173352
numerical_transformer__LotArea,7328.088562186723
numerical_transformer__OverallQual,14098.34761646976
numerical_transformer__OverallCond,5724.784377130831
numerical_transformer__YearBuilt,2461.950991551956
numerical_transformer__YearRemodAdd,1618.3611703619172
numerical_transformer__MasVnrArea,-18.99532013599882
numerical_transformer__BsmtFinSF1,6313.8148346775
numerical_transformer__BsmtFinSF2,-657.0950456910901
numerical_transformer__BsmtUnfSF,-102.32666917875787
numerical_transformer__TotalBsmtSF,4536.194295962586
numerical_transformer__1stFlrSF,7868.493769303386
numerical_transformer__2ndFlrSF,3780.8278590067207
numerical_transformer__LowQualFinSF,-1657.5361330864732
numerical_transformer__GrLivArea,11926.02590734624
numerical_transformer__BsmtFullBath,2070.6823855983666
numerical_transformer__BsmtHalfBath,855.655950334092
numerical_transformer__FullBath,5966.165756282534
numerical_transformer__HalfBath,4802.957307186415
numerical_transformer__BedroomAbvGr,-2079.8086389973178
numerical_transformer__KitchenAbvGr,-3583.205234964307
numerical_transformer__TotRmsAbvGrd,4153.284719840583
numerical_transformer__Fireplaces,4508.994360835983
numerical_transformer__GarageYrBlt,-3522.5311542308523
numerical_transformer__GarageCars,10159.664390336957
numerical_transformer__GarageArea,885.7376689751333
numerical_transformer__WoodDeckSF,1699.3340114083933
numerical_transformer__OpenPorchSF,-137.098703095889
numerical_transformer__EnclosedPorch,245.99928664702162
numerical_transformer__3SsnPorch,550.198266436073
numerical_transformer__ScreenPorch,345.3524809775241
numerical_transformer__PoolArea,1162.325367327576
numerical_transformer__MiscVal,-740.3668071476098
numerical_transformer__MoSold,-863.4705619237159
numerical_transformer__YrSold,-291.3409673126957
categorical_transformer__MSZoning_C (all),-2986.5873647089675
categorical_transformer__MSZoning_FV,1823.2946647961685
categorical_transformer__MSZoning_RH,1746.718826875671
categorical_transformer__MSZoning_RL,381.3691240062061
categorical_transformer__MSZoning_RM,-965.7945832304143
categorical_transformer__Street_Grvl,-1548.4547023536506
categorical_transformer__Street_Pave,1548.4547018860615
categorical_transformer__Alley_Grvl,-904.4150340872826
categorical_transformer__Alley_N/A,-252.19177401233037
categorical_transformer__Alley_Pave,1157.606574816573
categorical_transformer__LotShape_IR1,862.9379306775626
categorical_transformer__LotShape_IR2,3166.8430041547003
categorical_transformer__LotShape_IR3,-3680.380773962204
categorical_transformer__LotShape_Reg,-349.39904679574164
categorical_transformer__LandContour_Bnk,-5938.8716280563185
categorical_transformer__LandContour_HLS,4687.592769207567
categorical_transformer__LandContour_Low,-1224.0158830730845
categorical_transformer__LandContour_Lvl,2475.294885092963
categorical_transformer__Utilities_AllPub,576.8357290710626
categorical_transformer__Utilities_NoSeWa,-576.8357291931137
categorical_transformer__LotConfig_Corner,1398.2733985391542
categorical_transformer__LotConfig_CulDSac,5413.410521066354
categorical_transformer__LotConfig_FR2,-4857.938671478883
categorical_transformer__LotConfig_FR3,-1022.1264791237262
categorical_transformer__LotConfig_Inside,-930.618777055702
categorical_transformer__LandSlope_Gtl,-2752.1124511646362
categorical_transformer__LandSlope_Mod,3060.9041254808913
categorical_transformer__LandSlope_Sev,-307.7914918625593
categorical_transformer__Neighborhood_Blmngtn,-1483.3317724867593
categorical_transformer__Neighborhood_Blueste,62.82724574148302
categorical_transformer__Neighborhood_BrDale,1332.5381368654803
categorical_transformer__Neighborhood_BrkSide,2585.332190904337
categorical_transformer__Neighborhood_ClearCr,-221.09719676198816
categorical_transformer__Neighborhood_CollgCr,-5404.367405196914
categorical_transformer__Neighborhood_Crawfor,6862.76420659534
categorical_transformer__Neighborhood_Edwards,-9680.183790773368
categorical_transformer__Neighborhood_Gilbert,-7145.85600596587
categorical_transformer__Neighborhood_IDOTRR,-1411.8729160773744
categorical_transformer__Neighborhood_MeadowV,1594.9576928795173
categorical_transformer__Neighborhood_Mitchel,-7314.5187819622415
categorical_transformer__Neighborhood_NAmes,-3337.7473062241997
categorical_transformer__Neighborhood_NPkVill,-177.04065619636071
categorical_transformer__Neighborhood_NWAmes,-6250.925161621048
categorical_transformer__Neighborhood_NoRidge,18027.230187181576
categorical_transformer__Neighborhood_NridgHt,9743.109837554277
categorical_transformer__Neighborhood_OldTown,-3976.736935545824
categorical_transformer__Neighborhood_SWISU,258.19522581303414
categorical_transformer__Neighborhood_Sawyer,-1860.7842300381558
categorical_transformer__Neighborhood_SawyerW,-2056.9568205807186
categorical_transformer__Neighborhood_Somerst,1122.937150215556
categorical_transformer__Neighborhood_StoneBr,10695.730851176559
categorical_transformer__Neighborhood_Timber,-3283.0229571852356
categorical_transformer__Neighborhood_Veenker,1321.818761263085
categorical_transformer__Condition1_Artery,-2793.0170450141864
categorical_transformer__Condition1_Feedr,-1692.6028537582547
categorical_transformer__Condition1_Norm,8606.688818488225
categorical_transformer__Condition1_PosA,549.9203702383809
categorical_transformer__Condition1_PosN,-1687.4545546579202
categorical_transformer__Condition1_RRAe,-2152.2918576895004
categorical_transformer__Condition1_RRAn,52.974926883529896
categorical_transformer__Condition1_RRNe,-548.6294758637309
categorical_transformer__Condition1_RRNn,-332.58848233290286
categorical_transformer__Condition2_Artery,279.55000473393085
categorical_transformer__Condition2_Feedr,-46.24223281578819
categorical_transformer__Condition2_Norm,3816.550406685128
categorical_transformer__Condition2_PosN,-4389.401766842657
categorical_transformer__Condition2_RRAe,-34.424835746480014
categorical_transformer__Condition2_RRAn,103.76096926985993
categorical_transformer__Condition2_RRNn,269.2074550934156
categorical_transformer__BldgType_1Fam,2433.1192661249524
categorical_transformer__BldgType_2fmCon,-610.7677168491866
categorical_transformer__BldgType_Duplex,-838.7741681540741
categorical_transformer__BldgType_Twnhs,-833.2631177927348
categorical_transformer__BldgType_TwnhsE,-147.31476206872978
categorical_transformer__HouseStyle_1.5Fin,-878.7297786335703
categorical_transformer__HouseStyle_1.5Unf,1672.8357989547342
categorical_transformer__HouseStyle_1Story,-859.0745840880369
categorical_transformer__HouseStyle_2.5Fin,-240.53080825472756
categorical_transformer__HouseStyle_2.5Unf,-1021.0018790005362
categorical_transformer__HouseStyle_2Story,1916.3067504066169
categorical_transformer__HouseStyle_SFoyer,1479.8132292259297
categorical_transformer__HouseStyle_SLvl,-2067.618170518977
categorical_transformer__RoofStyle_Flat,-1317.3261339823985
categorical_transformer__RoofStyle_Gable,-2409.243685207559
categorical_transformer__RoofStyle_Gambrel,607.8905725316392
categorical_transformer__RoofStyle_Hip,2638.448350238952
categorical_transformer__RoofStyle_Mansard,184.96277542709075
categorical_transformer__RoofStyle_Shed,293.267645868054
categorical_transformer__RoofMatl_ClyTile,-5452.189515980298
categorical_transformer__RoofMatl_CompShg,551.8744895102502
categorical_transformer__RoofMatl_Metal,16.9929290400317
categorical_transformer__RoofMatl_Roll,47.51048611160415
categorical_transformer__RoofMatl_Tar&Grv,-1739.8973540558168
categorical_transformer__RoofMatl_WdShake,494.21399900906493
categorical_transformer__RoofMatl_WdShngl,6078.494963687094
categorical_transformer__Exterior1st_AsbShng,9.205862142554496
categorical_transformer__Exterior1st_AsphShn,-355.41835057280616
categorical_transformer__Exterior1st_BrkComm,-50.99982243095944
categorical_transformer__Exterior1st_BrkFace,6483.569762596611
categorical_transformer__Exterior1st_CBlock,-3.6350104640611223
categorical_transformer__Exterior1st_CemntBd,2226.599635578119
categorical_transformer__Exterior1st_HdBoard,-1511.5535843691302
categorical_transformer__Exterior1st_MetalSd,-45.06108412506477
categorical_transformer__Exterior1st_Plywood,-1677.2860153154923
categorical_transformer__Exterior1st_Stone,106.16991459350557
categorical_transformer__Exterior1st_Stucco,-3755.214050416227
categorical_transformer__Exterior1st_VinylSd,-241.43668512115903
categorical_transformer__Exterior1st_Wd Sdng,-980.5079703943259
categorical_transformer__Exterior1st_WdShing,-198.43405926890992
categorical_transformer__Exterior2nd_AsbShng,201.7984756009558
categorical_transformer__Exterior2nd_AsphShn,-15.740915616077764
categorical_transformer__Exterior2nd_Brk Cmn,-856.6472934997109
categorical_transformer__Exterior2nd_BrkFace,2974.677829360621
categorical_transformer__Exterior2nd_CBlock,-3.6350071309309993
categorical_transformer__Exterior2nd_CmentBd,381.91134759687054
categorical_transformer__Exterior2nd_HdBoard,-858.2073863335838
categorical_transformer__Exterior2nd_ImStucc,4903.42371148013
categorical_transformer__Exterior2nd_MetalSd,242.6610877682317
categorical_transformer__Exterior2nd_Other,57.11474535972429
categorical_transformer__Exterior2nd_Plywood,-2375.259948166577
categorical_transformer__Exterior2nd_Stone,341.1634807127563
categorical_transformer__Exterior2nd_Stucco,-2922.0743484220193
categorical_transformer__Exterior2nd_VinylSd,537.5406546677258
categorical_transformer__Exterior2nd_Wd Sdng,-1667.8030101586146
categorical_transformer__Exterior2nd_Wd Shng,-940.9237905913964
categorical_transformer__MasVnrType_BrkCmn,-2411.326142556752
categorical_transformer__MasVnrType_BrkFace,411.5299774380443
categorical_transformer__MasVnrType_N/A,1337.213996903621
categorical_transformer__MasVnrType_Stone,660.5774856135272
categorical_transformer__ExterQual_Ex,7896.722773191903
categorical_transformer__ExterQual_Fa,79.9642111021734
categorical_transformer__ExterQual_Gd,-665.9360467992778
categorical_transformer__ExterQual_TA,-7310.747754128981
categorical_transformer__ExterCond_Ex,-373.48965349849436
categorical_transformer__ExterCond_Fa,148.44502635211148
categorical_transformer__ExterCond_Gd,-512.7537456522386
categorical_transformer__ExterCond_Po,112.67070660172713
categorical_transformer__ExterCond_TA,624.1275868353422
categorical_transformer__Foundation_BrkTil,-3024.0212751778404
categorical_transformer__Foundation_CBlock,-743.3159394141915
categorical_transformer__Foundation_PConc,3354.8040155221984
categorical_transformer__Foundation_Slab,560.7571355264896
categorical_transformer__Foundation_Stone,-91.93675022901608
categorical_transformer__Foundation_Wood,-54.28807280771271
categorical_transformer__BsmtQual_Ex,14334.199275920228
categorical_transformer__BsmtQual_Fa,-803.9098056245723
categorical_transformer__BsmtQual_Gd,-7556.474608855062
categorical_transformer__BsmtQual_N/A,298.41438912585966
categorical_transformer__BsmtQual_TA,-6271.232379720772
categorical_transformer__BsmtCond_Fa,-1796.3312695807742
categorical_transformer__BsmtCond_Gd,-229.83431606355646
categorical_transformer__BsmtCond_N/A,298.4146444683961
categorical_transformer__BsmtCond_Po,350.2026301738493
categorical_transformer__BsmtCond_TA,1376.5479037659293
categorical_transformer__BsmtExposure_Av,363.6512210139337
categorical_transformer__BsmtExposure_Gd,9624.851048340175
categorical_transformer__BsmtExposure_Mn,-2937.5281685913255
categorical_transformer__BsmtExposure_N/A,-105.77970716058503
categorical_transformer__BsmtExposure_No,-6944.194630257948
categorical_transformer__BsmtFinType1_ALQ,-551.0348429298626
categorical_transformer__BsmtFinType1_BLQ,189.12424018384226
categorical_transformer__BsmtFinType1_GLQ,4078.594739008727
categorical_transformer__BsmtFinType1_LwQ,-2651.251936691036
categorical_transformer__BsmtFinType1_N/A,298.4149209958143
categorical_transformer__BsmtFinType1_Rec,-911.6942864694311
categorical_transformer__BsmtFinType1_Unf,-451.15433849218505
categorical_transformer__BsmtFinType2_ALQ,1055.7867010999269
categorical_transformer__BsmtFinType2_BLQ,-837.1312816481237
categorical_transformer__BsmtFinType2_GLQ,277.4525089957999
categorical_transformer__BsmtFinType2_LwQ,-792.9203362735755
categorical_transformer__BsmtFinType2_N/A,414.2877521220578
categorical_transformer__BsmtFinType2_Rec,-28.734444883181375
categorical_transformer__BsmtFinType2_Unf,-87.73949744279135
categorical_transformer__Heating_Floor,271.52789791985026
categorical_transformer__Heating_GasA,-287.8059871649623
categorical_transformer__Heating_GasW,864.8476311955161
categorical_transformer__Heating_Grav,108.70090039052137
categorical_transformer__Heating_OthW,-1255.2672120063885
categorical_transformer__Heating_Wall,295.996766265916
categorical_transformer__HeatingQC_Ex,2961.981812063902
categorical_transformer__HeatingQC_Fa,-1201.4672439186506
categorical_transformer__HeatingQC_Gd,-1436.484806807283
categorical_transformer__HeatingQC_TA,-322.03089230849787
categorical_transformer__CentralAir_N,718.8129202543502
categorical_transformer__CentralAir_Y,-718.8127693906081
categorical_transformer__Electrical_FuseA,1236.1058202627105
categorical_transformer__Electrical_FuseF,646.356189497377
categorical_transformer__Electrical_FuseP,-56.62523999433047
categorical_transformer__Electrical_Mix,-66.4913575105435
categorical_transformer__Electrical_SBrkr,-1758.3448581217096
categorical_transformer__KitchenQual_Ex,11792.527187841184
categorical_transformer__KitchenQual_Fa,885.1302675831882
categorical_transformer__KitchenQual_Gd,-6522.808182536487
categorical_transformer__KitchenQual_TA,-6154.853498345433
categorical_transformer__Functional_Maj1,-1007.8202436961479
categorical_transformer__Functional_Maj2,-736.685920303841
categorical_transformer__Functional_Min1,-1783.3547016060008
categorical_transformer__Functional_Min2,-1584.6401348231245
categorical_transformer__Functional_Mod,-279.3442380680965
categorical_transformer__Functional_Sev,-1027.0039132115228
categorical_transformer__Functional_Typ,6423.848550447746
categorical_transformer__FireplaceQu_Ex,6430.189295698742
categorical_transformer__FireplaceQu_Fa,-2854.6673085903626
categorical_transformer__FireplaceQu_Gd,-1787.3476087344095
categorical_transformer__FireplaceQu_N/A,1490.3828892046647
categorical_transformer__FireplaceQu_Po,-1682.9284947459455
categorical_transformer__FireplaceQu_TA,-1593.6326057782912
categorical_transformer__GarageType_2Types,-999.9090046350483
categorical_transformer__GarageType_Attchd,-2286.5474755627333
categorical_transformer__GarageType_Basment,-574.1889410782117
categorical_transformer__GarageType_BuiltIn,4113.896680849522
categorical_transformer__GarageType_CarPort,-1240.3311338637207
categorical_transformer__GarageType_Detchd,364.211647962597
categorical_transformer__GarageType_N/A,623.8669575612998
categorical_transformer__GarageFinish_Fin,1073.4991882713061
categorical_transformer__GarageFinish_N/A,623.8653272851328
categorical_transformer__GarageFinish_RFn,-1575.5903292632395
categorical_transformer__GarageFinish_Unf,-121.7749135236888
categorical_transformer__GarageQual_Ex,559.9337332743497
categorical_transformer__GarageQual_Fa,-1639.3526319858945
categorical_transformer__GarageQual_Gd,907.7367839319855
categorical_transformer__GarageQual_N/A,623.8637536758656
categorical_transformer__GarageQual_Po,-211.43797404194754
categorical_transformer__GarageQual_TA,-240.74147700389585
categorical_transformer__GarageCond_Ex,559.9336937495951
categorical_transformer__GarageCond_Fa,-932.429888027323
categorical_transformer__GarageCond_Gd,544.8218305035036
categorical_transformer__GarageCond_N/A,623.8608251998228
categorical_transformer__GarageCond_Po,-421.7398022855719
categorical_transformer__GarageCond_TA,-374.44492874310237
categorical_transformer__PavedDrive_N,-204.18626542435553
categorical_transformer__PavedDrive_P,-817.957710211217
categorical_transformer__PavedDrive_Y,1023.1447030602914
categorical_transformer__PoolQC_Ex,4775.762687493916
categorical_transformer__PoolQC_Fa,-155.50810852131906
categorical_transformer__PoolQC_Gd,-4551.147208731387
categorical_transformer__PoolQC_N/A,-67.10737523431926
categorical_transformer__Fence_GdPrv,-2114.0545688864995
categorical_transformer__Fence_GdWo,312.66143120152964
categorical_transformer__Fence_MnPrv,3139.4589314738832
categorical_transformer__Fence_MnWw,-877.9216458160347
categorical_transformer__Fence_N/A,-459.1430967345155
categorical_transformer__MiscFeature_Gar2,7.854430135914855
categorical_transformer__MiscFeature_N/A,-99.99929710066174
categorical_transformer__MiscFeature_Othr,138.47918599418833
categorical_transformer__MiscFeature_Shed,108.17368067426862
categorical_transformer__MiscFeature_TenC,-155.50811836550446
