feature,coefficients/importance
numerical_transformer__MSSubClass,-3022.19099922936
numerical_transformer__LotFrontage,555.5908975764418
numerical_transformer__LotArea,10969.911415162172
numerical_transformer__OverallQual,9082.445217724802
numerical_transformer__OverallCond,6509.024439872341
numerical_transformer__YearBuilt,6137.040671638466
numerical_transformer__YearRemodAdd,3224.0417542856458
numerical_transformer__MasVnrArea,-811.6129811866919
numerical_transformer__BsmtFinSF1,3231.7502848305458
numerical_transformer__BsmtFinSF2,-4202.263959260785
numerical_transformer__BsmtUnfSF,-4502.125096837019
numerical_transformer__TotalBsmtSF,14835.143859560776
numerical_transformer__1stFlrSF,8700.351135915722
numerical_transformer__2ndFlrSF,13263.19440582682
numerical_transformer__LowQualFinSF,-513.9152383976472
numerical_transformer__GrLivArea,4079.750343467918
numerical_transformer__BsmtFullBath,-38.27841221333632
numerical_transformer__BsmtHalfBath,662.0119396638605
numerical_transformer__FullBath,5627.60979380437
numerical_transformer__HalfBath,2915.8579890180044
numerical_transformer__BedroomAbvGr,-1316.4851795898755
numerical_transformer__KitchenAbvGr,-1872.5470277719462
numerical_transformer__TotRmsAbvGrd,3720.9377880040493
numerical_transformer__Fireplaces,10774.066458287454
numerical_transformer__GarageYrBlt,-17152.068033245578
numerical_transformer__GarageCars,3883.8009625982563
numerical_transformer__GarageArea,5298.512733896038
numerical_transformer__WoodDeckSF,1309.681500356795
numerical_transformer__OpenPorchSF,174.230513812793
numerical_transformer__EnclosedPorch,577.1040110736292
numerical_transformer__3SsnPorch,905.7761200743086
numerical_transformer__ScreenPorch,732.4734116847385
numerical_transformer__PoolArea,2031.394190049347
numerical_transformer__MiscVal,-3863.558082525535
numerical_transformer__MoSold,-1900.4806925084306
numerical_transformer__YrSold,-734.0830402039145
categorical_transformer__MSZoning_C (all),-31800.365113169843
categorical_transformer__MSZoning_FV,9659.880480217065
categorical_transformer__MSZoning_RH,2602.4093069479304
categorical_transformer__MSZoning_RL,-5037.65902199237
categorical_transformer__MSZoning_RM,1270.6462773192172
categorical_transformer__Street_Grvl,-30356.62075102293
categorical_transformer__Street_Pave,0.002445176100060086
categorical_transformer__Alley_Grvl,-1722.7708981626245
categorical_transformer__Alley_N/A,-2802.140276440337
categorical_transformer__Alley_Pave,6140.314191346209
categorical_transformer__LotShape_IR1,-2007.0841413127994
categorical_transformer__LotShape_IR2,3896.5277719595488
categorical_transformer__LotShape_IR3,9559.588319418423
categorical_transformer__LotShape_Reg,-268.97575774154916
categorical_transformer__LandContour_Bnk,-6295.658277280457
categorical_transformer__LandContour_HLS,791.9680113380551
categorical_transformer__LandContour_Low,-17926.94873705525
categorical_transformer__LandContour_Lvl,368.194847545896
categorical_transformer__Utilities_AllPub,36398.228158815735
categorical_transformer__Utilities_NoSeWa,-0.0
categorical_transformer__LotConfig_Corner,1747.8076770479004
categorical_transformer__LotConfig_CulDSac,11280.575627641329
categorical_transformer__LotConfig_FR2,-14853.897192207507
categorical_transformer__LotConfig_FR3,-43352.86804735408
categorical_transformer__LotConfig_Inside,0.0
categorical_transformer__LandSlope_Gtl,-1796.9784696888082
categorical_transformer__LandSlope_Mod,6278.795244830716
