feature,coefficients/importance
numerical_transformer__MSSubClass,0.0010625169455499171
numerical_transformer__LotFrontage,0.005615869416652186
numerical_transformer__LotArea,0.02333259233158508
numerical_transformer__OverallQual,0.5361363441391487
numerical_transformer__OverallCond,0.004426754420440404
numerical_transformer__YearBuilt,0.008355117478310619
numerical_transformer__YearRemodAdd,0.008520916372877262
numerical_transformer__MasVnrArea,0.005930772380161955
numerical_transformer__BsmtFinSF1,0.03148991864150835
numerical_transformer__BsmtFinSF2,0.0005770292777753485
numerical_transformer__BsmtUnfSF,0.005460907105130679
numerical_transformer__TotalBsmtSF,0.031090820223222265
numerical_transformer__1stFlrSF,0.024455247230953988
numerical_transformer__2ndFlrSF,0.04011403017844575
numerical_transformer__LowQualFinSF,2.78934462595228e-05
numerical_transformer__GrLivArea,0.13008722435486925
numerical_transformer__BsmtFullBath,0.0007729496597536615
numerical_transformer__BsmtHalfBath,0.0002777378752500561
numerical_transformer__FullBath,0.005993164632379909
numerical_transformer__HalfBath,0.0005175878436826265
numerical_transformer__BedroomAbvGr,0.0014206598918989064
numerical_transformer__KitchenAbvGr,0.0003050267131217521
numerical_transformer__TotRmsAbvGrd,0.004092171850414299
numerical_transformer__Fireplaces,0.0017744609678860901
numerical_transformer__GarageYrBlt,0.008181568084368911
numerical_transformer__GarageCars,0.030927722630132975
numerical_transformer__GarageArea,0.01077968506878645
numerical_transformer__WoodDeckSF,0.004620206827974206
numerical_transformer__OpenPorchSF,0.00533302513481213
numerical_transformer__EnclosedPorch,0.0007516282107762636
numerical_transformer__3SsnPorch,0.00026536066355852905
numerical_transformer__ScreenPorch,0.0004479844533228265
numerical_transformer__PoolArea,0.00010768950222011294
numerical_transformer__MiscVal,1.4455779458339622e-05
numerical_transformer__MoSold,0.0033552200858689373
numerical_transformer__YrSold,0.001546578934331595
categorical_transformer__MSZoning_C (all),7.577981633341224e-05
categorical_transformer__MSZoning_FV,7.1735164020338e-05
categorical_transformer__MSZoning_RH,1.3140150088437956e-05
categorical_transformer__MSZoning_RL,0.0003658075940863318
categorical_transformer__MSZoning_RM,0.0008058684984755427
categorical_transformer__Street_Grvl,1.423450839947661e-05
categorical_transformer__Street_Pave,7.285964403198869e-06
categorical_transformer__Alley_Grvl,1.4202350127237276e-05
categorical_transformer__Alley_N/A,0.00025714470884158477
categorical_transformer__Alley_Pave,5.540236859010539e-05
categorical_transformer__LotShape_IR1,0.0003580893782493224
categorical_transformer__LotShape_IR2,4.83735038996338e-05
categorical_transformer__LotShape_IR3,9.312952663688758e-05
categorical_transformer__LotShape_Reg,0.0011776536396505774
categorical_transformer__LandContour_Bnk,0.0009943126555877681
categorical_transformer__LandContour_HLS,0.00010522201800469939
categorical_transformer__LandContour_Low,7.772962778081148e-05
categorical_transformer__LandContour_Lvl,0.0006477804681220917
categorical_transformer__Utilities_AllPub,0.0
categorical_transformer__Utilities_NoSeWa,0.0
categorical_transformer__LotConfig_Corner,0.00044112589463533164
categorical_transformer__LotConfig_CulDSac,0.0003618517337295127
categorical_transformer__LotConfig_FR2,3.9291239550473445e-05
categorical_transformer__LotConfig_FR3,2.656930775042418e-05
categorical_transformer__LotConfig_Inside,0.00039840739583370656
categorical_transformer__LandSlope_Gtl,0.0002019938584417495
categorical_transformer__LandSlope_Mod,0.00015371219597420257
categorical_transformer__LandSlope_Sev,5.192528042314661e-05
categorical_transformer__Neighborhood_Blmngtn,2.3928478952318647e-06
categorical_transformer__Neighborhood_Blueste,2.0826576541034357e-06
categorical_transformer__Neighborhood_BrDale,9.21533823240712e-06
categorical_transformer__Neighborhood_BrkSide,7.608855637322197e-05
categorical_transformer__Neighborhood_ClearCr,7.24042299171395e-05
categorical_transformer__Neighborhood_CollgCr,0.00055295445462786
categorical_transformer__Neighborhood_Crawfor,0.0003375585054856068
