feature,coefficients/importance
numerical_transformer__MSSubClass,-3166.7074825921377
numerical_transformer__LotFrontage,-1467.9023460738217
numerical_transformer__LotArea,10292.704803779036
numerical_transformer__OverallQual,9577.22288979687
numerical_transformer__OverallCond,5792.356026351121
numerical_transformer__YearBuilt,3820.0285535815256
numerical_transformer__YearRemodAdd,2352.661110309127
numerical_transformer__MasVnrArea,-1332.7638641848519
numerical_transformer__BsmtFinSF1,5211.490446386079
numerical_transformer__BsmtFinSF2,475.80859334866506
numerical_transformer__BsmtUnfSF,-1814.5192529256237
numerical_transformer__TotalBsmtSF,5644.472831072119
numerical_transformer__1stFlrSF,8498.707107155342
numerical_transformer__2ndFlrSF,10154.282996642503
numerical_transformer__LowQualFinSF,-1021.8013205234117
numerical_transformer__GrLivArea,9236.760737789718
numerical_transformer__BsmtFullBath,574.2602874239395
numerical_transformer__BsmtHalfBath,744.6786293170246
numerical_transformer__FullBath,5993.950518611803
numerical_transformer__HalfBath,3004.859446300599
numerical_transformer__BedroomAbvGr,-1232.9636801551426
numerical_transformer__KitchenAbvGr,-2241.696254633385
numerical_transformer__TotRmsAbvGrd,3425.5907589691997
numerical_transformer__Fireplaces,9500.49214120716
numerical_transformer__GarageYrBlt,-8997.057259949639
numerical_transformer__GarageCars,8483.970658784776
numerical_transformer__GarageArea,497.22595508240926
numerical_transformer__WoodDeckSF,1309.1483274397508
numerical_transformer__OpenPorchSF,352.51133281815794
numerical_transformer__EnclosedPorch,113.16035142738559
numerical_transformer__3SsnPorch,1099.7022342670512
numerical_transformer__ScreenPorch,759.5677113838203
numerical_transformer__PoolArea,4169.613272492606
numerical_transformer__MiscVal,-2729.085123356837
numerical_transformer__MoSold,-1780.9334063961498
numerical_transformer__YrSold,-750.6833964567043
categorical_transformer__MSZoning_C (all),-25276.1824863694
categorical_transformer__MSZoning_FV,11438.174527859563
categorical_transformer__MSZoning_RH,8624.522439352768
categorical_transformer__MSZoning_RL,223.37505035959197
categorical_transformer__MSZoning_RM,4990.110468767968
categorical_transformer__Street_Grvl,-14291.039303143783
categorical_transformer__Street_Pave,14291.039303118108
categorical_transformer__Alley_Grvl,-1529.3935797225479
categorical_transformer__Alley_N/A,-2886.070801586268
categorical_transformer__Alley_Pave,4415.464381269271
categorical_transformer__LotShape_IR1,136.60328398095143
categorical_transformer__LotShape_IR2,4194.756757558177
categorical_transformer__LotShape_IR3,-5737.545953681221
categorical_transformer__LotShape_Reg,1406.1859121027219
categorical_transformer__LandContour_Bnk,-7896.473786160309
categorical_transformer__LandContour_HLS,9019.262247881617
categorical_transformer__LandContour_Low,-7154.616045439043
categorical_transformer__LandContour_Lvl,6031.82758368312
categorical_transformer__Utilities_AllPub,12072.454616045037
categorical_transformer__Utilities_NoSeWa,-12072.454616068875
categorical_transformer__LotConfig_Corner,7910.577080048132
categorical_transformer__LotConfig_CulDSac,16568.356441416967
categorical_transformer__LotConfig_FR2,-9657.962238886004
categorical_transformer__LotConfig_FR3,-19753.863434319883
categorical_transformer__LotConfig_Inside,4932.892151710229
categorical_transformer__LandSlope_Gtl,-1922.6606130746197
categorical_transformer__LandSlope_Mod,7441.914606642319
categorical_transformer__LandSlope_Sev,-5519.253993599259
categorical_transformer__Neighborhood_Blmngtn,7839.899326046455
categorical_transformer__Neighborhood_Blueste,7198.24501982987
categorical_transformer__Neighborhood_BrDale,7760.437022893573
categorical_transformer__Neighborhood_BrkSide,-3986.8438168694734
categorical_transformer__Neighborhood_ClearCr,-12630.602380441365
categorical_transformer__Neighborhood_CollgCr,-8341.294879918216
categorical_transformer__Neighborhood_Crawfor,14427.736671697085
categorical_transformer__Neighborhood_Edwards,-22183.283019811857
categorical_transformer__Neighborhood_Gilbert,-13770.453608976559
categorical_transformer__Neighborhood_IDOTRR,-13666.00774217593
categorical_transformer__Neighborhood_MeadowV,6188.558072016641
categorical_transformer__Neighborhood_Mitchel,-27615.381292314494
categorical_transformer__Neighborhood_NAmes,-12701.23006324629
categorical_transformer__Neighborhood_NPkVill,9185.20017942322
categorical_transformer__Neighborhood_NWAmes,-19694.023130675894
categorical_transformer__Neighborhood_NoRidge,52760.22699613473
categorical_transformer__Neighborhood_NridgHt,23840.198900483752
categorical_transformer__Neighborhood_OldTown,-17140.427258823038
categorical_transformer__Neighborhood_SWISU,-4141.219932550678
categorical_transformer__Neighborhood_Sawyer,-10810.800952149953
categorical_transformer__Neighborhood_SawyerW,-3258.847479440923
categorical_transformer__Neighborhood_Somerst,-6.80049453062607
categorical_transformer__Neighborhood_StoneBr,49270.562441829476
categorical_transformer__Neighborhood_Timber,-10512.089042174683
categorical_transformer__Neighborhood_Veenker,1988.2404637198442
categorical_transformer__Condition1_Artery,-6232.845319009383
categorical_transformer__Condition1_Feedr,1203.593172204624
categorical_transformer__Condition1_Norm,10011.152098603165
categorical_transformer__Condition1_PosA,8642.595271228378
categorical_transformer__Condition1_PosN,4984.456334796031
categorical_transformer__Condition1_RRAe,-18295.585305612807
categorical_transformer__Condition1_RRAn,3400.785826470329
categorical_transformer__Condition1_RRNe,-8555.965583870373
categorical_transformer__Condition1_RRNn,4841.813505148177
categorical_transformer__Condition2_Artery,13122.778561572666
categorical_transformer__Condition2_Feedr,20528.263498561002
categorical_transformer__Condition2_Norm,20685.765006422633
categorical_transformer__Condition2_PosN,-79485.84857413742
categorical_transformer__Condition2_RRAe,-160.61213493783552
categorical_transformer__Condition2_RRAn,11558.638107046549
categorical_transformer__Condition2_RRNn,13751.01553545091
categorical_transformer__BldgType_1Fam,9467.052757612146
categorical_transformer__BldgType_2fmCon,-3673.627215225393
categorical_transformer__BldgType_Duplex,-2047.9226904721877
categorical_transformer__BldgType_Twnhs,-1124.1288426557137
categorical_transformer__BldgType_TwnhsE,-2621.3740093013093
categorical_transformer__HouseStyle_1.5Fin,-4693.330973538509
categorical_transformer__HouseStyle_1.5Unf,14953.934926851945
categorical_transformer__HouseStyle_1Story,2105.7440370876793
categorical_transformer__HouseStyle_2.5Fin,-5787.2085193338735
categorical_transformer__HouseStyle_2.5Unf,-5537.099089375671
categorical_transformer__HouseStyle_2Story,-3185.2205303411756
categorical_transformer__HouseStyle_SFoyer,3799.997981838903
categorical_transformer__HouseStyle_SLvl,-1656.8178332238365
categorical_transformer__RoofStyle_Flat,2817.3308159012195
categorical_transformer__RoofStyle_Gable,-7841.954174816829
categorical_transformer__RoofStyle_Gambrel,-4920.0280725782395
categorical_transformer__RoofStyle_Hip,-4469.165781374536
categorical_transformer__RoofStyle_Mansard,74.72859326116865
categorical_transformer__RoofStyle_Shed,14339.088619566042
categorical_transformer__RoofMatl_ClyTile,-140943.91567612204
categorical_transformer__RoofMatl_CompShg,19264.830513329707
categorical_transformer__RoofMatl_Metal,4526.032277074269
categorical_transformer__RoofMatl_Roll,8601.605329213922
categorical_transformer__RoofMatl_Tar&Grv,6741.233904386407
categorical_transformer__RoofMatl_WdShake,24319.164547336466
categorical_transformer__RoofMatl_WdShngl,77491.04910474854
